NRG Systems SymphoniePRO Desktop Application
Software Version:	3.16.0.24 (build built by CI server 2024-03-14)
Model:	IPACK_TYPE_LTE_G ()
Serial Number:	943400523
Firmware:	2.4.12

Date:	2025-07-17 06:35:09
Model:	None
Serial Number:	0
Firmware:	0

Date:	2025-07-17 10:06:37
Model:	IPACK_TYPE_LTE_G ()
Serial Number:	943400523
Firmware:	2.4.12

Date:	2025-07-17 10:07:00
Model:	None
Serial Number:	0
Firmware:	0

Date:	2025-07-17 10:07:38
Model:	IPACK_TYPE_LTE_G ()
Serial Number:	943400523
Firmware:	2.4.12

Date:	2025-07-17 12:55:23
Model:	None
Serial Number:	0
Firmware:	0

Date:	2025-07-18 00:00:00
Model:	IPACK_TYPE_LTE_G ()
Serial Number:	943400523
Firmware:	2.4.12

Date:	2025-07-25 10:02:27
Model:	None
Serial Number:	0
Firmware:	0

Date:	2025-07-25 10:27:07
Model:	IPACK_TYPE_LTE_G ()
Serial Number:	943400523
Firmware:	2.4.12

Sensor History
Channel:	1
Effective Date:	2025-02-10 09:14:55
Type:	Anemometer
Data Logging Mode:	Statistics
Description:	NRG 40C Anem
Serial Number:	
Height:	0.00
Bearing:	0.00
Scale Factor:	0.76500
Offset:	0.35000
Units:	m/s
Signal Type:	Coil
Internal Pull Up Enabled:	False

Channel:	4
Effective Date:	2025-02-10 09:14:55
Type:	Totalizer
Data Logging Mode:	Statistics
Description:	Rain Gauge
Serial Number:	
Height:	0.00
Bearing:	0.00
Scale Factor:	0.25400
Offset:	0.00000
Units:	mm
Signal Type:	Pulsed
Internal Pull Up Enabled:	True

Channel:	13
Effective Date:	2025-02-10 09:14:55
Type:	Vane
Data Logging Mode:	Statistics
Description:	NRG 200M Vane
Serial Number:	
Height:	0.00
Bearing:	0.00
Vane Mounting Angle:	180.00
Scale Factor:	147.91100
Offset:	-1.46020
Total Direction Offset:	178.54
Dead Band East:	0
Dead Band West:	0
Units:	Deg
Reference Voltage:	5 V
Excitation Mode:	Pulsed On
Excitation Value:	5 V

Channel:	14
Effective Date:	2025-02-10 09:14:55
Type:	Analog
Data Logging Mode:	Statistics
Description:	NRG T60 Temp
Serial Number:	
Height:	0.00
Bearing:	0.00
Scale Factor:	44.74360
Offset:	-40.85550
Units:	C
Excitation Mode:	Pulsed On
Excitation Value:	5 V

Channel:	16
Effective Date:	2025-02-10 09:14:55
Type:	Analog
Data Logging Mode:	Statistics
Description:	NRG RH5X Humi
Serial Number:	
Height:	0.00
Bearing:	0.00
Scale Factor:	20.00000
Offset:	0.00000
Units:	%RH
Excitation Mode:	Constant On
Excitation Value:	12 V

Channel:	17
Effective Date:	2025-07-16 10:58:16
Type:	Analog
Data Logging Mode:	Statistics
Description:	NRG BP60 Baro
Serial Number:	
Height:	0.00
Bearing:	0.00
Scale Factor:	243.87100
Offset:	494.42700
Units:	hPa
Reference Voltage:	5 V
Excitation Mode:	Pulsed On
Excitation Value:	5 V

Channel:	20
Effective Date:	2025-02-10 09:14:55
Type:	Analog
Data Logging Mode:	Statistics
Description:	NRG BP60 Baro
Serial Number:	
Height:	0.00
Bearing:	0.00
Scale Factor:	243.87100
Offset:	494.42700
Units:	hPa
P-SCM Type:	P-SCM #9130, (0 to 5) V, SE Input, Pulsed 5V EXC

Channel:	20
Effective Date:	2025-07-16 10:58:16
Type:	Thermistor
Data Logging Mode:	Statistics
Description:	NRG PVT1 PV Temp
Serial Number:	
Height:	0.00
Bearing:	0.00
Scale Factor:	1.00000
Offset:	-273.15000
Units:	C
ThermistorA:	0.001032000
ThermistorB:	0.000238700
ThermistorC:	0.000000158
Math Type:	Thermistor: Steinhart-Hart
P-SCM Type:	P-SCM #9420 (0-5)V, Diff Input, Const 15uA No Exc, 2/4w

Channel:	20
Effective Date:	2025-07-25 10:27:07
Type:	Thermistor
Data Logging Mode:	Statistics
Description:	NRG PVT1 PV Temp
Serial Number:	
Height:	0.00
Bearing:	0.00
Scale Factor:	1.00000
Offset:	-273.15000
Units:	C
ThermistorA:	0.001032000
ThermistorB:	0.000238700
ThermistorC:	0.000000158
Math Type:	Thermistor: Steinhart-Hart
P-SCM Type:	P-SCM #9132, (0 to 5) V, SE Input, Constant 12V EXC

Channel:	21
Effective Date:	2025-07-16 10:58:16
Type:	Thermistor
Data Logging Mode:	Statistics
Description:	NRG PVT1 PV Temp
Serial Number:	
Height:	0.00
Bearing:	0.00
Scale Factor:	1.00000
Offset:	-273.15000
Units:	C
ThermistorA:	0.001032000
ThermistorB:	0.000238700
ThermistorC:	0.000000158
Math Type:	Thermistor: Steinhart-Hart
P-SCM Type:	P-SCM #9420 (0-5)V, Diff Input, Const 15uA No Exc, 2/4w

Channel:	21
Effective Date:	2025-07-25 10:27:07
Type:	Thermistor
Data Logging Mode:	Statistics
Description:	NRG PVT1 PV Temp
Serial Number:	
Height:	0.00
Bearing:	0.00
Scale Factor:	1.00000
Offset:	-273.15000
Units:	C
ThermistorA:	0.001032000
ThermistorB:	0.000238700
ThermistorC:	0.000000158
Math Type:	Thermistor: Steinhart-Hart
P-SCM Type:	P-SCM #9132, (0 to 5) V, SE Input, Constant 12V EXC

Channel:	22
Effective Date:	2025-07-16 10:58:16
Type:	Analog
Data Logging Mode:	Statistics
Description:	PSM c-Si Isc Soil
Serial Number:	
Height:	0.00
Bearing:	0.00
Scale Factor:	6.05029
Offset:	0.03525
Units:	A
P-SCM Type:	P-SCM #9132, (0 to 5) V, SE Input, Constant 12V EXC

Channel:	23
Effective Date:	2025-07-16 10:58:16
Type:	Analog
Data Logging Mode:	Statistics
Description:	PSM c-Si Isc Clean
Serial Number:	
Height:	0.00
Bearing:	0.00
Scale Factor:	6.05029
Offset:	0.03525
Units:	A
P-SCM Type:	P-SCM #9132, (0 to 5) V, SE Input, Constant 12V EXC

Channel:	24
Effective Date:	2025-07-23 11:02:01
Type:	Analog
Data Logging Mode:	Statistics
Description:	Analog 0-1 V
Serial Number:	S19046564
Height:	0.00
Bearing:	0.00
Scale Factor:	97371.00000
Offset:	0.00000
Units:	W/m2
P-SCM Type:	P-SCM #9132, (0 to 5) V, SE Input, Constant 12V EXC

Channel:	24
Effective Date:	2025-07-25 13:47:33
Type:	Analog
Data Logging Mode:	Statistics
Description:	Analog 0-1 V
Serial Number:	S19046564
Height:	0.00
Bearing:	0.00
Scale Factor:	97371.00000
Offset:	0.00000
Units:	W/m2
P-SCM Type:	P-SCM #9128, (-6 to 58) mV, Diff Input, No EXC

Channel:	25
Effective Date:	2025-07-23 11:02:01
Type:	Analog
Data Logging Mode:	Statistics
Description:	Analog 0-1 V
Serial Number:	S19046569
Height:	0.00
Bearing:	0.00
Scale Factor:	89605.70000
Offset:	0.00000
Units:	W/m2
P-SCM Type:	P-SCM #9132, (0 to 5) V, SE Input, Constant 12V EXC

Channel:	26
Effective Date:	2025-07-23 11:02:01
Type:	Analog
Data Logging Mode:	Statistics
Description:	Analog 0-1 V
Serial Number:	S19046507
Height:	0.00
Bearing:	0.00
Scale Factor:	96805.40000
Offset:	0.00000
Units:	W/m2
P-SCM Type:	P-SCM #9132, (0 to 5) V, SE Input, Constant 12V EXC

Data
Timestamp	Ch1_Anem_0.00m_N_Avg_m/s	Ch1_Anem_0.00m_N_SD_m/s	Ch1_Anem_0.00m_N_Min_m/s	Ch1_Anem_0.00m_N_Max_m/s	Ch1_Anem_0.00m_N_Gust_m/s	Ch4_Total_0.00m_N_Sum_mm	Ch13_Vane_0.00m_N_Avg_Deg	Ch13_Vane_0.00m_N_SD_Deg	Ch13_Vane_0.00m_N_GustDir_Deg	Ch14_Analog_0.00m_N_Avg_C	Ch14_Analog_0.00m_N_SD_C	Ch14_Analog_0.00m_N_Min_C	Ch14_Analog_0.00m_N_Max_C	Ch16_Analog_0.00m_N_Avg_%RH	Ch16_Analog_0.00m_N_SD_%RH	Ch16_Analog_0.00m_N_Min_%RH	Ch16_Analog_0.00m_N_Max_%RH	Ch17_Analog_0.00m_N_Avg_hPa	Ch17_Analog_0.00m_N_SD_hPa	Ch17_Analog_0.00m_N_Min_hPa	Ch17_Analog_0.00m_N_Max_hPa	Ch20_Analog_0.00m_N_Avg_hPa	Ch20_Analog_0.00m_N_SD_hPa	Ch20_Analog_0.00m_N_Min_hPa	Ch20_Analog_0.00m_N_Max_hPa	Ch21_Therm_0.00m_N_Avg_C	Ch21_Therm_0.00m_N_SD_C	Ch21_Therm_0.00m_N_Min_C	Ch21_Therm_0.00m_N_Max_C	Ch22_Analog_0.00m_N_Avg_A	Ch22_Analog_0.00m_N_SD_A	Ch22_Analog_0.00m_N_Min_A	Ch22_Analog_0.00m_N_Max_A	Ch23_Analog_0.00m_N_Avg_A	Ch23_Analog_0.00m_N_SD_A	Ch23_Analog_0.00m_N_Min_A	Ch23_Analog_0.00m_N_Max_A	Ch24_Analog_0.00m_N_Avg_W/m2	Ch24_Analog_0.00m_N_SD_W/m2	Ch24_Analog_0.00m_N_Min_W/m2	Ch24_Analog_0.00m_N_Max_W/m2	Ch25_Analog_0.00m_N_Avg_W/m2	Ch25_Analog_0.00m_N_SD_W/m2	Ch25_Analog_0.00m_N_Min_W/m2	Ch25_Analog_0.00m_N_Max_W/m2	Ch26_Analog_0.00m_N_Avg_W/m2	Ch26_Analog_0.00m_N_SD_W/m2	Ch26_Analog_0.00m_N_Min_W/m2	Ch26_Analog_0.00m_N_Max_W/m2
2025-02-10 09:14:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000																																
2025-02-10 09:16:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:18:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:20:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:22:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:24:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:26:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:28:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:30:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:32:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:34:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:36:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:38:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:40:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:42:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:44:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:46:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:48:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:50:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:52:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:54:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:56:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 09:58:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:00:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:02:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:04:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:06:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:08:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:10:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:12:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:14:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:16:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:18:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:20:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:22:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:24:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:26:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:28:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:30:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:32:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:34:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:36:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:38:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:40:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:42:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:44:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:46:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:48:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:50:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:52:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:54:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:56:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 10:58:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:00:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:02:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:04:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:06:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:08:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:10:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:12:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:14:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:16:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:18:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:20:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:22:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
2025-02-10 11:24:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	180.000000	0.000000	180.000000	-40.855500	0.000000	-40.855500	-40.855500	0.000000	0.000000	0.000000	0.000000					494.427000	0.000000	494.427000	494.427000																								
